mean_abs_error,median_abs_error,vehicle_count
45.428888888888885,51.093333333333334,3
50.20333333333332,50.20333333333332,2
47.83,47.83,2
30.52888888888889,39.73666666666668,3
39.2811111111111,36.379999999999995,3
31.384444444444455,35.50333333333333,3
30.706000000000007,33.29000000000002,5
26.513333333333332,32.97666666666666,3
29.566111111111113,27.375,6
25.995000000000005,25.995000000000005,2
25.936666666666667,25.936666666666667,2
24.95333333333332,24.95333333333332,2
24.03500000000001,24.03500000000001,2
23.586666666666673,23.586666666666673,2
23.931666666666672,23.011666666666684,4
22.578333333333347,22.578333333333347,2
22.329166666666673,22.325000000000003,4
21.939999999999998,21.939999999999998,2
19.52444444444444,21.29666666666668,3
17.674444444444447,20.693333333333328,3
24.50111111111112,20.623333333333335,3
48.929999999999986,19.94999999999999,3
17.549999999999997,17.549999999999997,2
15.926666666666677,15.926666666666677,2
17.807777777777783,15.910000000000025,3
15.322222222222214,12.779999999999973,3
11.74666666666667,11.74666666666667,2
11.52666666666667,11.52666666666667,2
9.853333333333325,9.853333333333325,2
9.823333333333338,9.823333333333338,2
8.250476190476181,8.96666666666664,7
8.90266666666667,8.306666666666672,5
8.245000000000005,8.245000000000005,2
11.076666666666663,8.083333333333343,3
8.058333333333337,8.058333333333337,2
7.579444444444438,7.668333333333322,6
7.5233333333333405,7.5233333333333405,2
13.295238095238094,7.383333333333326,7
7.046666666666667,7.046666666666667,2
7.0316666666666805,7.0316666666666805,2
6.863333333333344,6.863333333333344,2
6.780000000000001,6.780000000000001,2
7.848888888888894,6.463333333333338,3
6.241666666666674,6.241666666666674,2
6.101666666666688,6.101666666666688,2
4.927777777777767,5.289999999999992,3
9.49948717948718,5.160000000000025,13
7.522499999999994,5.018333333333317,4
7.099333333333339,4.513333333333321,5
6.0366666666666715,4.296666666666681,3
11.244166666666658,4.119999999999976,4
9.582083333333337,3.683333333333337,8
4.313333333333347,3.625,4
3.426666666666648,3.426666666666648,2
4.558750000000003,3.211666666666673,8
2.2766666666666615,1.9333333333333371,3
1.6766666666666765,1.6766666666666765,2
0.6422222222222255,0.5533333333333417,3
