make,model,year,y_true,y_pred,abs_error
Chevrolet,Silverado EV 2WT,2025,282,401.3733333333333,119.37333333333332
Chevrolet,"Silverado EV 14-mod battery, 11kW 15-mode charger",2026,283,371.2633333333333,88.26333333333332
BYD,e6,2016,187,114.33333333333331,72.66666666666667
Hyundai,Ioniq 6 Standard Range,2025,240,301.5,61.5
Honda,Clarity EV,2018,89,149.26333333333332,60.26333333333332
Honda,Clarity EV,2019,89,146.41333333333333,57.41333333333333
BYD,e6,2017,187,132.01666666666668,54.98333333333332
Genesis,Electrified GV70 AWD (20 inch Wheels),2026,243,296.6,53.60000000000002
Tesla,Model X Standard Range,2020,258,311.4766666666667,53.47666666666669
Ford,Mustang Mach-E RWD California Route 1,2021,305,252.66,52.34
